Vehicle ID,Origin,Destination,Travel Time,Distance,Emissions,Avg Speed,Passengers,Completed
291,1923,1513,175.402,2690.69,4.04017,15.3402,4,Yes
292,1404,1514,1704.83,13611.3,22.2799,7.98396,1,Yes
293,1546,1556,107.399,1418.17,2.51951,13.2047,1,Yes
294,1083,1714,250.106,2370.57,2.9675,9.47825,4,Yes
295,400,26,986.006,8104.84,14.2491,8.21987,4,Yes
296,39,1856,1523.38,6829.59,12.1234,4.4832,4,Yes
297,1721,97,804.951,4719.38,7.10774,5.86295,3,Yes
298,281,1724,1091.58,5960.65,10.8679,5.46057,3,Yes
299,223,1430,909.725,6162.11,11.3636,6.7736,5,Yes
300,1407,1157,323.111,2068.21,3.27068,6.40094,5,Yes
301,1644,1614,1539.27,10732.4,18.1624,6.97238,4,Yes
302,992,1716,852.239,6064.79,10.5155,7.11631,5,Yes
303,1942,1559,733.668,4673.39,5.06912,6.3699,2,Yes
304,1262,1471,1256.24,7466.63,13.1224,5.94363,4,Yes
305,1574,397,732.668,5076.45,8.01342,6.92872,5,Yes
306,1577,15,1138.27,11119.9,15.4191,9.76912,3,Yes
307,1350,1525,893.829,5325.43,8.25174,5.95799,5,Yes
308,105,1812,590.303,4774.7,6.15212,8.08856,2,Yes
309,526,1406,1478.29,15836,29.164,10.7124,5,Yes
310,467,1425,1229.55,11120.4,12.6247,9.04429,1,Yes
311,1734,1665,96.2991,1498.69,2.65224,15.5629,3,Yes
312,1396,1843,379.514,3337.49,5.73069,8.79411,2,Yes
313,1749,1727,606.999,5189.15,8.76305,8.54886,5,Yes
314,17,623,2447.54,14946.1,16.2104,6.10659,3,Yes
315,1942,1306,861.137,4122.55,4.22546,4.78733,3,Yes
316,1486,1271,780.956,7599.46,14.4575,9.73097,3,Yes
317,1793,1869,318.91,3793,7.0842,11.8936,5,Yes
318,1157,1713,767.96,4106.21,8.12196,5.3469,1,Yes
319,1341,1565,251.406,3233.12,4.92814,12.8602,4,Yes
320,1513,103,1367.11,12232.8,18.0088,8.94793,1,Yes
321,1362,1588,505.922,3600.76,4.3229,7.11723,1,Yes
322,1436,1367,142.7,1773.36,3.03885,12.4272,4,Yes
323,47,1339,1731.62,8006.29,11.1942,4.62357,3,Yes
324,1556,1355,113.199,2155.95,3.60726,19.0457,4,Yes
325,1565,1585,904.926,4500.66,4.89304,4.97351,2,Yes
326,1889,1381,913.624,6314.13,9.21563,6.91109,5,Yes
327,1020,1852,640.691,5711.28,6.38846,8.91425,4,Yes
328,1287,1781,1726.43,11007.3,15.4849,6.37575,2,Yes
329,1410,1656,100.599,1380.76,1.78509,13.7254,1,Yes
330,1407,1463,2078.98,12559.5,16.2996,6.0412,5,Yes
331,741,416,1188.06,9868.38,10.2123,8.30632,2,Yes
332,1094,97,895.328,3714,6.32689,4.1482,3,Yes
333,1474,1338,418.516,3937.91,6.28953,9.40922,4,Yes
334,1740,347,539.115,4364.36,7.79483,8.0954,2,Yes
335,1381,1556,380.114,4278.21,7.24029,11.2551,4,Yes
336,1622,1525,1242.94,6649.29,9.71254,5.34963,3,Yes
337,1019,1614,287.008,2702.34,3.74066,9.41553,5,Yes
338,1590,1855,633.692,5152.83,9.17383,8.13144,1,Yes
339,665,842,64.2996,357.172,0.680747,5.55481,4,Yes
340,1421,1511,1940.97,14764.6,26.2029,7.60681,3,Yes
341,1875,1878,38,359.205,0.427948,9.45276,4,Yes
342,703,1383,641.39,3901.79,7.49335,6.08334,1,Yes
343,1339,1682,349.612,3318.4,3.51253,9.49166,1,Yes
344,1597,1712,1134.77,5821.14,8.17555,5.1298,3,Yes
345,419,1717,451.018,5143.98,8.87391,11.4053,4,Yes
346,1528,59,432.217,3309.96,5.99002,7.6581,3,Yes
347,1855,1508,1130.87,8929.69,9.34693,7.89629,5,Yes
348,1698,1784,1479.79,9608.14,15.0873,6.49293,2,Yes
349,1580,73,1175.06,9360.92,13.0563,7.96633,1,Yes
